"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Debit UI","2. Оплата тура кнопой Купить с использованием банковской карты со статусом ""DECLINED"" и валидных данных","1","0","0","0","0"
"","Credit UI","29.Оплата тура кнопой Купить в кредит, в случае если поле ""Банковская карта"" пустое, остальные поля с валидными значениями","0","0","1","0","0"
"","Credit API postgres","3.Отправка запроса c валидными данными и номером карты ""4444 4444 4444 4441""","0","0","1","0","0"
"","Credit UI","49.Оплата тура кнопой Купить в кредит, в случае если поле ""CVC/CVV"" заполнить спецсимволами,остальные поля заполнить валидными данными","0","0","1","0","0"
"","Credit API mysql","4.Отправка запроса c валидными данными и номером карты ""4444 4444 4444 4442""","0","0","1","0","0"
"","Credit UI","31.Оплата тура кнопой Купить в кредит, в случае если поле ""Месяц"" оставить пустым, остальные поля заполнить валидными данными","0","0","1","0","0"
"","Debit UI","9.Оплата тура кнопой Купить, в случае если поле ""Месяц"" заполнить двумя нулями, остальные поля заполнить валидными данными","1","0","0","0","0"
"","Credit UI","41.Оплата тура кнопой Купить в кредит, в случае если поле ""Год"" заполнить значением 00, остальные поля заполнитьвалидными данными","1","0","0","0","0"
"","Debit API postgres","1. Отправка запроса c валидными данными и номером карты ""4444 4444 4444 4441""","0","0","1","0","0"
"","Credit UI","3. Оплата тура кнопой Купить в кредит с использованием банковской карты со статусом ""APPROVED"" и валидных данных","1","0","0","0","0"
"","Debit UI","17.Оплата тура кнопой Купить, в случае если поле ""Владелец"" заполнить спецсимволами, остальные поля заполнить валидными данными","0","0","0","1","0"
"","Credit UI","48.Оплата тура кнопой Купить в кредит, в случае если поле ""CVC/CVV"" заполнить значением 0, остальные поля заполнитьвалидными данными","0","0","1","0","0"
"","Credit UI","30.Оплата тура кнопой Купить в кредит, в случае если поле ""Банковская карта"" заполнить спецсимволами, остальные поля с валидными значениями","0","0","1","0","0"
"","Credit UI","45.Оплата тура кнопой Купить в кредит, в случае если поле ""Владелец"" заполнить на кириллице,остальные поля заполнить валидными данными","1","0","0","0","0"
"","Debit UI","14.Оплата тура кнопой Купить, в случае если поле ""Год"" заполнить одной цифрой, остальные поля заполнить валидными данными","1","0","0","0","0"
"","Credit UI","35.Оплата тура кнопой Купить в кредит, в случае если поле ""Месяц"" заполнить цифрой 00, остальные поля заполнить валидными данными","1","0","0","0","0"
"","Debit UI","21.Оплата тура кнопой Купить, в случае если поле ""CVC/CVV"" оставить пустым, остальные поля заполнить валидными данными","0","0","1","0","0"
"","Debit UI","1.Оплата тура кнопой Купить , в случае если все поля формы не заполнены","0","0","1","0","0"
"","Credit UI","39.Оплата тура кнопой Купить в кредит, в случае если поле ""Год"" заполнить значением на 5 лет вперед от текущего года, остальные поля заполнить валидными данными","1","0","0","0","0"
"","Debit UI","11.Оплата тура кнопой Купить, в случае если поле ""Год"" оставить пустым, остальные поля заполнить валидными данными","0","0","1","0","0"
"","Credit UI","43.Оплата тура кнопой Купить в кредит, в случае если поле ""Владелец"" оставить пустым, остальные поля заполнитьвалидными данными","0","1","0","0","0"
"","Credit UI","26.Оплата тура кнопой Купить в кредит, в случае если все поля формы не заполнены","0","0","1","0","0"
"","Debit UI","3.Оплата тура кнопой Купить, в случае если банковская карта содержит 8 цифр, остальные поля валидные","0","0","1","0","0"
"","Credit UI","33.Оплата тура кнопой Купить в кредит, в случае если поле ""Месяц"" заполнить на два месяца вперед от текущего месяца, остальные поля заполнить валидными данными","0","0","1","0","0"
"","Credit UI","46.Оплата тура кнопой Купить в кредит, в случае если поле ""Владелец"" заполнить имя и фамилия, состоящее из более30 букв, остальные поля заполнить валидными данными","0","0","1","0","0"
"","Debit UI","8.Оплата тура кнопой Купить, в случае если поле ""Месяц"" заполнить одной цифрой, остальные поля заполнить валидными данными","0","0","1","0","0"
"","Credit UI","38.Оплата тура кнопой Купить в кредит, в случае если поле ""Год"" заполнить значением на год раньше текущего года,остальные поля заполнить валидными данными","1","0","0","0","0"
